Record,Weight,Date,WID,Wrestler1,Team1,Wrestler2,Team2,VS,Result,difVP,NAPM,NPF,Ride,Escaoe,Reversal,TD,LA,HI,HO,D,LS,COUNTER,THROW,APM,oTD,oLA,oHI,oHO,oD,oLS,Ocounter,oTHROW,oAPM,Laa,Lac,Tda,TDc,OPM,DPM,Ptotal,oLAa,oLAc,oTDa,oTDc,oPtotal,oOPM,oDPM,wResult,oppStrength,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
3061,197,03/03/18,Mattiace Pennsylvania 197,Mattiace,Pennsylvania,Brucki,Princeton,52.5938118,1,3.023482782,1.285714286,1.5,1,1,0,0.166666667,0.2,0.5,0,0,0,0,0,0.642857143,0,0,0,0,0,0,0,0,-0.642857143,5,1,6,1,1.357142857,0.285714286,2,5,0,8,0,2,0.714285714,0.642857143,3.330809751,3.028008865,420,2,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,3,2,0,0,2,0,1,0,0,4,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0
242,165,02/11/18,Wick Wisconsin 165,Wick,Wisconsin,Martinez,Illinois,52.4449606,0,-31.91265364,-3.857142857,1.04,0.333333333,0.5,0,0.25,0.142857143,0,0,0,0.333333333,1,0,0.357142857,0.5,0.25,1,0,0,0,1,0,4.214285714,7,1,8,2,1.357142857,1,2,4,1,6,3,0,1.928571429,1.285714286,8.961379177,9.957087974,420,2,0,2,0,0,0,3,1,1,1,0,0,4,2,0,0,1,0,0,0,2,0,0,1,1,2,0,0,0,1,0,2,2,0,0,2,2,0,0,5,2,0,1,0,0,1
1045,165,12/01/17,Campbell Ohio State 165,Campbell,Ohio State,White,Nebraska,52.437226,1,-10.090415,-0.928571429,1.43,0.5,1,0,0.333333333,0.333333333,1,0,0,0,0,0,-0.142857143,0,0,0,0,0,0,0,0,0.785714286,3,1,3,1,0.714285714,0.142857143,1,4,0,4,0,0,0.571428571,0.214285714,5.774334845,5.249395314,420,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2462,165,03/03/18,Torres Northern Colorado 165,Torres,Northern Colorado,Patton,Northern Iowa,52.27303166,1,-40.31367914,1.727272727,1.71,0.75,0,0,0.6,0,0,0,0,0,0,1,2.454545455,0,0,0,0,0,0,0,0,0.727272727,2,0,5,3,4.454545455,0,2,2,0,2,0,0,0.545454545,0.181818182,2.266264205,1.295008117,330,1,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
1828,149,03/03/18,McCrystal Nebraska 149,McCrystal,Nebraska,Hayes,Ohio State,52.2715419,0,-8.402518459,0.642857143,0.17,0,1,0.666666667,0,0,0,0,0,0,0,0,1.857142857,0.4,0.4,0,0.25,1,0,0,0,1.214285714,1,0,4,0,0.428571429,1.428571429,0,5,2,5,2,1,15071428571,0.642857143,5.120011333,5.688901481,420,0,0,0,0,0,0,1,0,3,0,0,0,4,1,2,0,1,3,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,3,3,0,0,1,3,0,0,1,0,0
1827,149,03/03/18,Hayes Ohio State 149,Hayes,Ohio State,McCrystal,Nebraska,52.26371742,1,8.402518459,-0.642857143,1.83,0,1,0,0.4,0.4,0,0.25,1,0,0,0,1.214285714,0,0,0,0,0,0,0,0,1.857142857,5,2,5,2,15071428571,0.642857143,1,1,0,4,0,0,0.428571429,1.428571429,5.333514599,4.848649635,420,0,0,4,1,1,1,0,0,0,0,0,0,3,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,1,2,0,1,3,0,0,0,0,0
2113,285,03/03/18,Stoll Iowa 285,Stoll,Iowa,Nevills,Penn State,52.2533198,0,-4.197238632,1.214285714,0,0,1,0,0,0,0,0,0,0,0,0,0.214285714,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0.214285714,0,0,0,0,0,2,0.714285714,0.285714286,5.22533198,5.805924423,420,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,2,0,0
2942,174,03/03/18,Harvey Army 174,Harvey,Army,White,Columbia,52.21426871,1,-55.696025,0,0.4,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,5,0,9,0,0.857142857,0.642857143,1,8,0,10,0,1,1.357142857,0.142857143,5.221426871,4.746751701,420,1,0,0,0,0,0,4,0,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1706,133,03/03/18,Pletcher Ohio State 133,Pletcher,Ohio State,Duncan,Illinois,52.15555272,1,8.733885961,0.428571429,1.17,0.5,1,0,0.166666667,0.25,0,0.5,0,0,0,0,15071428571,0.25,0.5,0,0.5,0,0,0,0,11042857143,4,1,6,1,0.928571429,0.642857143,0,2,1,4,1,0,0.571428571,0.571428571,4.715555272,4.286868429,420,0,0,2,1,0,0,2,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2643,125,03/03/18,Chalifoux Army 125,Chalifoux,Army,Keeley,Brown,52.14285714,1,null,2.285714286,1.8,0.4,1,0,0.8,1,1,0,0,1,0,0,3.285714286,0,0,0,0,0,0,0,0,1,4,4,5,4,2,0.285714286,0,1,0,3,0,0,0.142857143,0.857142857,110,1,420,1,1,0,0,0,0,3,3,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0
559,197,11/09/17,Cassar Penn State 197,Cassar,Penn State,Caywood,Army,52.02112245,1,61.24665533,3,1.5,0.6,2,0,0.444444444,0.4,0.666666667,0,0,0,0.5,0,3.928571429,0,0,0,0,0,0,0,0,0.928571429,5,2,9,4,150,1.428571429,0,4,0,4,0,0,0.571428571,0.357142857,0.535445578,0.486768707,420,3,2,2,0,0,0,0,0,4,2,0,0,0,2,0,0,2,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
3032,197,03/03/18,Kasunic American 197,Kasunic,American,Reese,Bucknell,52.01327434,1,null,3.451327434,1,1,0,0,1,0,0,0,0,0,1,0,3.982300885,0,0,0,0,0,0,0,0,0.530973451,0,0,1,1,2.389380531,15092920354,0,1,0,1,0,0,0.530973451,0,1.75,1,113,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2830,157,03/03/18,Rifanburg Binghampton 157,Rifanburg,Binghampton,Brown,Lehigh,51.98129252,1,-12.0952381,3.285714286,1.33,1,1,1,0.333333333,0,0,0,0,0,1,0,3.071428571,0,0,0,0,0,0,0,0,-0.214285714,2,0,3,1,1.285714286,0.785714286,0,4,0,4,0,1,0.642857143,0.142857143,0.817176871,0.653741497,420,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,5,1,0,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0
2717,133,03/03/18,Parker Lehigh 133,Parker,Lehigh,Tucker,Cornell,51.96190476,1,-9.523809524,0,0.33,0,2,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0.428571429,1,0,1,0,0.142857143,0.285714286,0,2,0,2,0,0,0.285714286,0.142857143,5.196190476,4.723809524,420,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,165,02/09/18,Wick Wisconsin 165,Wick,Wisconsin,White,Nebraska,51.95884354,0,15.16427297,0.785714286,0.6,0,1,0,0,0,0,0,0,0,0,0,11042857143,0.666666667,0.5,0.5,0,0,0,1,0,0.357142857,3,0,3,0,0.428571429,0.714285714,0,2,1,3,2,1,0.714285714,0.642857143,4.724455782,5.249395314,420,1,0,0,0,0,0,2,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,1,0,0
1704,133,03/03/18,McKee Minnesota 133,McKee,Minnesota,Keener,Penn State,51.95314557,1,17.75496937,1,1.21,0.333333333,0.5,0,0.2,0,0,0,0,0,0.25,1,2.714285714,0.142857143,0.2,0,0,0.5,0,0,0,1.714285714,5,0,10,2,1.714285714,1,0,5,1,7,1,0,1.071428571,0.642857143,3.983193345,3.621084859,420,2,0,0,0,1,0,2,0,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,2,1,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0
1274,174,02/18/18,Brucki Central Michigan 174,Brucki,Central Michigan,Amine,Michigan,51.91639497,0,null,-0.285714286,0.25,0,0.666666667,0,0,0,0,0,0,0,0,0,0.642857143,0.5,0.333333333,0,0,1,0,1,0,0.928571429,1,0,2,0,0.142857143,0.5,0,3,1,4,2,1,1.357142857,0.571428571,5.691639497,6.324043886,420,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,8,1,0,0,1,0,0
1055,174,12/01/17,Jordan Ohio State 174,Jordan,Ohio State,Bolen,Virginia Tech,51.90909091,1,null,2.5,1.64,0.333333333,1,0,0.25,0.285714286,0.333333333,0,1,0,0,0,3.071428571,0,0,0,0,0,0,0,0,0.571428571,7,2,8,2,1.785714286,0.285714286,0,4,0,9,0,1,0.571428571,1,110,1,420,3,1,0,0,1,1,3,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,3,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0
424,197,01/07/18,Schultz Nebraska 197,Schultz,Nebraska,Malik,Maryland,51.78571429,1,null,2.5,1.5,0.5,2,0,0.833333333,0.75,1,0,0,1,1,0,3.571428571,0,0,0,0,0,0,0,0,1.071428571,4,3,6,5,2.285714286,1.285714286,0,3,0,3,0,0,0.428571429,0.642857143,125,1,420,2,2,1,0,0,0,1,1,2,2,0,0,2,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
498,174,11/17/17,Pfarr Minnesota 174,Pfarr,Minnesota,Kocer,South Dakota State,51.73088412,0,-52.71848519,-0.714285714,0.63,0,0.666666667,0,0,0,0,0,0,0,0,0,1.285714286,0.5,0.333333333,0,1,0,0,1,0,2,5,0,5,0,0.857142857,0.428571429,0,3,1,4,2,0,11042857143,0.857142857,6.155231269,6.839145854,420,2,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,2,2,0,0,6,0,0,0,0,0,0
891,133,11/04/17,Pletcher Ohio State 133,Pletcher,Ohio State,Gil,Franklin & Marshall,51.71428571,1,null,2.857142857,1.43,0.4,1,0,0.307692308,0.5,1,0,0.5,0,0.25,0,4.571428571,0.166666667,0,0,0,0,0,0.333333333,0,1.714285714,4,2,13,4,15071428571,2,0,3,0,6,1,0,0.428571429,1.285714286,110,1,420,1,1,1,0,2,1,0,0,8,2,1,0,0,2,0,0,2,2,0,0,0,0,1,1,0,0,0,2,0,0,0,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0
2901,165,03/03/18,Viruet Brown 165,Viruet,Brown,Stamm,Hofstra,51.625,1,null,2.5,1.63,0.5,1,0,0.166666667,0.2,0,0,0.5,0,0,0,1.642857143,0,0,0,0,0,0,0,0,-0.857142857,5,1,6,1,1.357142857,0.285714286,1,3,0,5,0,2,0.428571429,0.714285714,110,1,420,1,0,1,0,2,1,1,0,1,0,0,0,0,1,0,0,3,2,0,0,1,0,1,1,0,2,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,2,0,0
1883,165,03/03/18,Wanzek Minnesota 165,Wanzek,Minnesota,Martin,Indiana,51.47773109,1,34.05384171,2.857142857,1.6,1,1,1,0.2,0,0,0,0,0,0.5,0,3.214285714,0,0,0,0,0,0,0,0,0.357142857,3,0,5,1,1.285714286,0.928571429,0,2,0,5,0,1,0.571428571,0.785714286,0.576344538,0.52394958,420,1,0,0,0,2,0,0,0,2,1,0,0,1,0,1,0,7,5,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,1,0,1,0,0
426,285,01/07/18,Jensen Nebraska 285,Jensen,Nebraska,Hemida,Maryland,51.45963203,0,-51.49010513,-0.357142857,0.33,1,1,0,0,0,0,0,0,0,0,0,1.285714286,0.75,0.75,0,1,1,0,0,0,1.642857143,2,0,2,0,0.285714286,1,0,4,3,4,3,0,1.642857143,0,5.741201299,6.379112554,420,0,0,0,0,0,0,2,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2488,174,03/03/18,Mejias Oklahoma 174,Mejias,Oklahoma,Kocer,South Dakota State,51.44242258,0,-43.6230127,-0.857142857,0.82,0,150,0.5,0.086956522,0.333333333,0,0,0,0.5,0.052631579,0,1.428571429,0.045454545,0.045454545,0,0,0.333333333,0,0,0,2.285714286,3,1,23,2,0.857142857,3.571428571,3,22,1,22,1,2,3.428571429,0.857142857,6.155231269,6.839145854,420,1,0,0,0,0,0,2,1,19,1,1,0,0,2,1,0,0,0,0,0,3,0,0,14,0,4,0,3,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0
1397,165,02/09/18,Wanzek Minnesota 165,Wanzek,Minnesota,Lewis,Rutgers,51.40261441,0,-33.64078432,-0.928571429,0.47,0,0.5,0,0,0,0,0,0,0,0,0,11042857143,0.090909091,0,0,0,0,0,0.333333333,0,2.071428571,7,0,7,0,1,0.142857143,0,8,0,11,1,0,1.214285714,0.857142857,6.564070965,7.293412183,420,0,0,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0
