Record,Weight,Date,Wrestler1,Team1,Wrestler2,Team2,Result,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
2487,174,3/3/2018,Kocer,South Dakota State,Mejias,Oklahoma,1.1,420,14,0,4,0,3,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,19,1,1,0,0,2,1,0,0,0,0,0,3,0,0
2488,174,3/3/2018,Mejias,Oklahoma,Kocer,South Dakota State,0.9,420,1,0,0,0,0,0,2,1,19,1,1,0,0,2,1,0,0,0,0,0,3,0,0,14,0,4,0,3,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0
2489,174,3/3/2018,Billingsly,Air Force,VonEgidy,West Virginia,0.9,420,2,0,2,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,1
2490,174,3/3/2018,VonEgidy,West Virginia,Billingsly,Air Force,1.1,420,3,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
2491,174,3/3/2018,Pope,Wyoming,Bush,Iowa State,1.1,420,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,3,1,1
2492,174,3/3/2018,Bush,Iowa State,Pope,Wyoming,0.9,420,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,3,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2493,174,3/3/2018,Bastian,Utah Valley,Kincaid,Fresno State,1.1,420,2,0,3,0,2,0,2,0,2,1,0,0,1,1,0,0,0,2,0,0,1,0,0,5,0,1,0,0,0,1,0,1,0,0,0,3,2,0,0,0,1,0,0,2,0,0
2494,174,3/3/2018,Kincaid,Fresno State,Bastian,Utah Valley,0.9,420,5,0,1,0,0,0,1,0,1,0,0,0,3,2,0,0,0,1,0,0,2,0,0,2,0,3,0,2,0,2,0,2,1,0,0,1,1,0,0,0,2,0,0,1,0,0
2495,174,3/3/2018,Urbach,North Dakota State,Bogulski,Northern Colorado,1.1,420,0,0,1,0,1,0,3,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
2496,174,3/3/2018,Bogulski,Northern Colorado,Urbach,North Dakota State,0.9,420,3,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0
